,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,0,0,0,0,1,1,1,1,0,1,5,3,8,20,63,175,496,1255,2102,2262,1935,1574,1952,2488,3188,3233,3807,4486,4828,4453,3854,3872,4341,4910,5260,5322,5130,4565,3882,3056,2532,2071,1929,1801,1729,1661,1606,1457,1417,1374,1260,1281,1229,1213,1175,1091,1109,1066,1081,1129,1118,1053,1082,1107,1120,1149,1027,1130,1053,1031,1084,1023,977,1058,1007,1038,1024,1066,1089,1130,1043,1097,1083,1090,1082,1180,1144,1167,1099,1112,1240,1244,1181,1210,1360,1360,1303,1444,1466,1525,1548,1533,1442,1499,1455,1393,1350,1289,1365,1306,1342,1188,1251,1176,1211,1215,1079,1100,1167,1160,1139,1193,1257,1268,1336,1352,1389,1431,1467,1509,1586,1659,1672,1709,1705,1852,1827,2017,1992,2052,2104,2248,2258,2247,2331,2344,2371,2384,2441,2327,2410,2424,2509,2555,2642,2670,2880,2950,2996,3031,3136,3061,3039,3019,3078,3016,3102,3197,3135,3186,3114,3061,3053,3131,3117,3101,3065,2988,3074,3076,2915,2963,3054,2857,2891,2937,3012,3072,3084,2952,3026,3083,3168,3163,3176,3295,3254,3267,3192,3225,3167,3154,3101,3351,3506,3554,3622,3767,3639,3424,3087,3017,2999,3038,3009,2862,3092,3156,3052,2805,2384,2438,2480,2541,2363,2117,2142,1970,1829,1510,1255,1026,862,658,438,274,202,168,136,104,70,64,29,24,15,6,2,5,5,0,1,2,1,2,0,0
1,63,77,185,388,1259,1912,2461,3226,3678,4945,5649,6106,5836,5449,5022,4714,4567,4151,4022,3999,4148,4280,4666,4612,4917,4686,4815,4756,4439,4388,4241,4194,4100,4148,4055,4246,4052,4030,3818,3826,3476,3354,3221,2989,3006,2834,2722,2571,2511,2476,2400,2344,2262,2094,2160,2207,2156,2163,2043,2047,1984,2112,2094,1988,1962,1942,1925,1959,1877,1760,1759,1706,1623,1613,1642,1582,1607,1623,1596,1647,1603,1590,1633,1620,1584,1636,1576,1614,1530,1506,1516,1572,1520,1570,1649,1620,1621,1653,1584,1518,1563,1462,1481,1427,1458,1392,1392,1403,1325,1371,1307,1296,1282,1356,1413,1247,1331,1331,1301,1201,1301,1301,1281,1303,1241,1191,1295,1241,1254,1242,1273,1252,1196,1230,1189,1222,1170,1180,1234,1190,1137,1113,1110,1104,1186,1068,1081,1033,1087,1061,1109,1110,1033,1101,1085,1080,1128,1105,1129,1129,1139,1101,1110,1241,1188,1247,1279,1174,1241,1346,1323,1297,1335,1371,1345,1370,1402,1403,1449,1448,1451,1461,1469,1418,1528,1428,1475,1469,1471,1467,1484,1497,1448,1536,1595,1557,1538,1510,1567,1571,1573,1633,1697,1631,1540,1482,1422,1476,1440,1288,1354,1300,1285,1214,1223,1171,1139,1145,1130,1051,1017,1030,959,922,971,939,938,973,883,903,929,918,873,920,902,929,940,991,991,1003,1121,1176,1236,1311,1428,1500,1739,1880,2109,2419,3056,3298,3409,3536,1519,397
2,33,153,366,957,1587,2451,3259,4002,4461,4596,4844,4980,4589,4321,3927,3707,3453,3316,3255,3158,3098,3057,2964,2961,2881,2935,2866,2761,2709,2532,2281,2240,2094,1947,1934,1704,1797,1688,1658,1596,1598,1601,1588,1539,1518,1362,1300,1279,1273,1207,1118,1207,1347,1468,1667,1906,2202,2632,3138,3452,3761,4439,5187,5688,5750,4790,3716,2666,1785,1200,956,784,683,721,667,705,677,671,677,682,757,681,711,742,803,790,791,859,860,854,957,909,948,958,998,1065,1092,1110,1122,1189,1155,1157,1236,1205,1183,1258,1192,1312,1404,1307,1432,1507,1475,1573,1661,1694,1640,1716,1687,1645,1782,1692,1627,1788,1789,1765,1839,1689,1866,1885,1891,2014,2052,2273,2244,2296,2385,2474,2539,2753,2722,2933,2915,3066,3178,3333,3450,3501,3604,3857,3939,3843,3994,3815,4016,3871,4011,3792,3925,3896,3927,4023,3937,4188,4063,3912,3933,3749,3833,3725,3879,3807,3865,3793,3707,3794,3706,3784,3646,3665,3682,3578,3551,3365,3351,3029,2814,2569,2335,2184,1923,1682,1602,1496,1368,1225,1115,1051,940,837,729,656,554,496,524,444,393,340,352,287,277,281,237,203,220,221,189,188,166,153,147,127,131,127,101,93,98,75,75,77,76,71,54,49,47,54,44,45,52,46,40,52,55,56,59,80,82,85,119,137,171,250,288,344,317,69
3,377,682,1139,1838,2590,3296,4166,5152,5941,6243,6283,6306,6067,5919,5738,5557,5619,5564,5458,5394,5245,5183,5002,4839,4861,4594,4345,4373,4194,4110,3977,3742,3686,3561,3607,3360,3272,3203,2994,2873,2797,2741,2580,2525,2413,2262,2246,2062,2012,1958,1912,1922,1822,1790,1739,1754,1693,1616,1628,1672,1578,1502,1464,1445,1453,1356,1409,1337,1376,1317,1327,1282,1328,1302,1327,1389,1350,1369,1467,1380,1407,1407,1500,1491,1497,1485,1519,1545,1503,1470,1477,1468,1513,1402,1454,1454,1435,1437,1491,1582,1509,1460,1497,1540,1484,1541,1572,1604,1526,1610,1703,1634,1795,1737,1891,1885,1926,1913,2072,2104,2242,2249,2306,2353,2426,2522,2494,2572,2687,2704,2772,2841,2861,2876,3018,3041,3121,3191,3111,3234,3248,3257,3335,3349,3362,3453,3395,3256,3306,3308,3242,3210,3161,3224,2905,3046,2879,2828,2609,2631,2575,2451,2238,2150,2018,1966,1938,1843,1807,1794,1747,1685,1614,1636,1537,1454,1414,1408,1362,1285,1218,1207,1083,1070,975,945,940,857,782,789,702,652,673,584,604,584,584,500,476,458,426,410,339,351,331,295,261,222,245,208,187,182,145,149,146,142,113,91,94,75,78,54,51,47,40,44,43,40,30,38,33,33,49,30,38,38,38,29,65,63,52,67,72,45,79,100,103,110,171,174,219,253,333,433,367,107
4,0,0,0,1,10,43,115,335,753,1190,1652,2755,3328,4197,5654,6455,7370,8486,7698,7077,6263,5211,4409,3925,3567,2993,2596,2341,2075,1860,1767,1581,1560,1382,1410,1368,1239,1244,1221,1170,1209,1090,1217,1176,1128,1275,1305,1356,1307,1305,1469,1515,1664,1739,1866,1939,2276,2394,2965,3023,3004,3018,3159,3139,3473,3632,3699,4028,4612,4850,5394,5190,5075,5080,4920,5016,4807,5005,4912,5052,5010,4806,5036,5202,5164,5689,6023,6355,6945,7501,7629,7509,6994,6680,6746,6800,6681,6127,5520,5328,5352,5035,4712,4668,4655,4594,4825,4472,4280,4001,3601,3558,3027,2693,2703,2514,2331,2286,1871,1577,1390,1331,854,703,618,521,513,455,419,404,411,404,428,422,400,374,393,392,363,398,376,373,420,475,686,831,831,919,796,892,872,908,904,1055,1039,934,952,859,803,689,527,560,604,587,682,587,704,702,691,586,529,475,442,460,340,294,288,249,222,215,204,212,197,183,201,241,217,294,246,231,227,170,172,172,138,169,162,159,149,179,162,163,187,171,140,148,126,129,109,108,135,137,132,185,167,159,180,197,251,138,169,174,219,171,88,79,82,67,81,99,77,92,113,66,109,99,103,105,104,94,115,95,101,133,153,152,196,198,170,185,179,175,215,358,994,7708
5,0,0,0,0,0,0,0,0,0,0,2,26,58,111,144,234,294,509,855,952,1095,1297,1637,1899,1756,1602,1560,1473,1379,1309,1296,1274,1352,1444,1420,1404,1533,1458,1485,1466,1605,1587,1592,1628,1685,1800,1872,1957,1954,1905,2011,1986,2014,2038,2024,2118,2265,2195,2297,2291,2379,2394,2436,2485,2458,2613,2728,2687,2717,2829,2787,2902,2991,2915,2972,3003,3095,3008,3042,3236,3244,3178,3148,3158,3235,3379,3320,3423,3523,3422,3409,3506,3576,3537,3561,3723,3736,3711,3688,3741,3701,3866,3758,3673,3708,3659,3703,3673,3930,3859,3947,4016,4187,4170,4243,4259,4307,4470,4426,4350,4203,4152,4035,4202,4021,3874,3810,3700,3600,3471,3305,3368,3220,3221,3165,3039,2980,2853,2972,2890,2893,2850,2748,2709,2612,2500,2408,2283,2217,2206,2038,2025,1980,1911,1841,1744,1803,1798,1542,1533,1502,1511,1531,1544,1490,1477,1496,1463,1460,1416,1396,1349,1357,1391,1356,1335,1317,1307,1264,1225,1273,1290,1229,1260,1230,1213,1198,1190,1216,1196,1221,1171,1170,1145,1119,1106,1117,1091,1089,1076,1030,965,998,995,953,883,904,913,852,837,775,763,753,698,630,673,610,550,602,571,589,580,602,595,551,458,482,366,310,270,248,202,208,174,168,151,148,103,110,82,91,79,89,84,77,112,111,97,112,170,192,283,480,835,1631,11748
6,10,33,124,310,505,597,652,649,615,593,552,472,477,459,432,417,390,379,418,386,415,447,424,429,413,506,518,521,602,601,580,535,537,533,526,502,492,469,526,529,544,616,643,801,840,885,969,1093,1032,1225,1234,1247,1335,1374,1440,1535,1686,1701,1775,1869,1894,2031,2069,2123,2201,2242,2247,2198,2224,2277,2233,2187,2203,2146,2224,2094,2209,2120,2130,2229,2302,2366,2372,2512,2510,2605,2564,2465,2539,2691,2686,2724,2745,2761,2768,2747,2847,2790,2742,2768,2771,2743,2818,2870,2864,2853,2684,2828,2748,2821,2811,2854,2795,2739,2629,2697,2575,2679,2661,2602,2722,2701,2711,2758,2662,2655,2680,2759,2654,2711,2718,2574,2660,2695,2672,2788,2594,2576,2601,2602,2473,2493,2436,2310,2353,2350,2343,2272,2381,2378,2507,2671,2738,2947,3049,3230,3275,3323,3400,3218,3203,3017,3120,3045,3005,2996,2988,2996,2942,3102,3255,3271,3368,3424,3348,3359,3220,3097,3083,2818,2628,2532,2223,2081,1940,1885,1836,1842,1883,1817,2060,2350,2801,3465,3918,4355,4777,5304,5593,5839,5676,5283,4953,4118,3502,3146,3024,3075,3122,3479,3464,3126,2390,1839,1357,964,667,390,260,191,148,130,144,146,148,118,121,102,77,80,47,19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17,139,357,686,1308,2089,2699,3300,3664,3994,4072,4187,4216,4119,4170,4273,4181,4086,3997,3994,3792,3968,3859,3632,3601,3439,3358,3222,3067,2973,2886,2717,2533,2293,2272,2204,2090,2049,1981,1860,1764,1804,1739,1717,1721,1645,1605,1519,1462,1484,1551,1529,1534,1460,1438,1444,1363,1371,1375,1468,1392,1406,1493,1482,1547,1553,1683,1703,1867,1914,1998,2070,2101,2063,2257,2076,2200,2132,2159,2089,2165,2182,2260,2177,2419,2469,2513,2690,2679,2903,2956,3051,3222,3232,3576,3604,3738,3777,3812,3940,3943,4067,3923,3682,3679,3488,3328,3252,3188,3074,3081,2985,2898,2828,2859,2788,2737,2745,2752,2807,2786,2760,2940,2846,2898,3060,2854,2827,2887,2751,2683,2661,2502,2248,2224,2051,1838,1637,1408,1244,1092,1012,939,821,819,791,743,679,707,630,656,635,629,593,543,462,511,511,493,500,494,457,480,489,432,399,390,392,443,463,425,406,407,440,411,422,412,372,370,344,282,312,305,292,269,317,334,396,554,762,1288,1800,2204,2524,2694,2961,2977,3708,4174,4959,5614,5389,5153,4925,4447,4240,4127,3684,3153,2744,2471,2171,2327,2528,2624,2346,1885,1357,937,663,507,350,312,277,281,301,357,516,379,244,126,38,6,3,2,2,3,1,3,2,6,1,9,6,3,7,8,6,6,4,2,2,10,9,4,0
8,5150,874,811,938,1256,1348,1529,1979,2744,2184,1753,1719,1841,1866,2203,2595,2979,3570,4284,4841,5433,6233,6829,7100,7481,7335,7059,6447,5474,4694,3708,3028,2508,2193,2068,2090,2170,2283,2448,3099,3138,3201,3125,3134,2788,3042,2893,2932,2847,2977,3184,3170,3088,3080,2849,2671,2673,2583,2391,2384,2477,2472,2509,2574,2522,2594,2441,2438,2805,3182,4197,5362,5462,5924,4714,4366,4000,3758,3069,2930,2759,2835,2850,2756,2614,2643,2106,2276,2320,2760,2380,2492,2408,2163,2410,2099,1976,1782,1907,1956,2468,2367,2213,2175,1790,1394,1253,1377,1369,1433,1600,1715,2167,2358,2939,2777,3244,2934,2824,2767,2189,2191,2100,2068,2281,2193,1582,1317,1195,1007,837,839,855,847,811,762,795,805,750,802,774,722,747,705,717,717,754,737,647,680,685,705,690,656,691,706,688,696,680,713,712,688,707,716,628,740,647,707,718,709,744,760,780,748,812,894,850,902,887,888,889,999,983,1004,1079,1056,1096,1141,1378,1319,1432,1437,1432,1533,1574,1618,1678,1557,1398,1458,1360,1391,1274,1241,1190,1060,1189,1160,1320,1520,1650,1690,1650,1667,1579,1764,1780,1630,1683,1625,1410,1206,1126,1049,911,797,731,614,596,555,532,489,505,512,496,506,557,592,391,211,87,52,40,40,27,24,20,26,17,10,9,8,8,7,12,24
9,286,876,1023,1157,1509,1930,2132,2651,3353,3856,4310,3990,4049,3690,3860,3852,3982,4093,4171,3962,4085,3912,3808,3792,3519,3340,3185,3135,3109,3131,3104,3274,3405,3496,4032,4191,4078,3120,2883,2761,2515,2445,2320,2343,2171,2250,2195,2047,1938,2043,1949,1863,1731,1712,1734,1704,1718,1547,1682,1540,1603,1416,1581,1680,1697,1780,1711,1488,1426,1374,1340,1333,1486,1852,2910,4133,5014,6296,6833,2877,1151,908,821,852,833,835,806,813,887,852,874,904,824,834,887,970,891,891,944,907,921,986,928,1022,980,1030,1002,1074,1089,1131,1155,1128,1149,1275,2482,2618,3248,4744,1619,1076,1019,1123,1188,1145,1207,1248,1270,1302,1372,1324,1509,1419,1514,1509,1626,1672,1802,1682,1854,1969,2061,2090,2082,2172,2106,2259,2349,2347,2508,2498,2410,2505,2561,2679,2832,2783,2778,2711,2800,2814,2874,2936,3065,3159,3458,3668,3702,3657,3936,4083,4127,4068,4053,3951,3842,4107,3907,4056,3948,4038,4022,3866,3842,3689,3271,3146,2746,2604,2504,2212,2211,1930,1891,1639,1561,1481,1336,1418,1257,1195,1230,1100,1033,1002,934,847,759,724,633,633,558,466,419,345,316,328,273,210,216,191,173,131,118,91,70,80,78,78,70,69,61,64,63,53,58,47,36,43,24,36,26,11,4,5,4,5,6,4,3,2,1,3,1,0,0,0
